body, x, y, z
jupiter,4.5741,1.8755,-0.1102
saturn,7.0349,5.9421,-0.3831
uranus,14.0144,-14.1386,-0.2342
neptune,16.4142,-25.2615,0.1419
sun,0.0005,-0.0035,0.0000
jupiter,4.5632,1.9023,-0.1101
saturn,7.0206,5.9577,-0.3828
uranus,14.0245,-14.1291,-0.2343
neptune,16.4237,-25.2552,0.1416
sun,0.0006,-0.0036,0.0000
jupiter,4.5520,1.9291,-0.1099
saturn,7.0063,5.9732,-0.3825
uranus,14.0346,-14.1196,-0.2344
neptune,16.4333,-25.2488,0.1412
sun,0.0006,-0.0036,0.0000
jupiter,4.5408,1.9558,-0.1098
saturn,6.9920,5.9886,-0.3822
uranus,14.0447,-14.1101,-0.2345
neptune,16.4428,-25.2425,0.1409
sun,0.0006,-0.0036,0.0000
jupiter,4.5294,1.9824,-0.1096
saturn,6.9777,6.0041,-0.3819
uranus,14.0547,-14.1006,-0.2346
neptune,16.4524,-25.2361,0.1405
sun,0.0006,-0.0036,0.0000
jupiter,4.5178,2.0089,-0.1095
saturn,6.9633,6.0195,-0.3816
uranus,14.0648,-14.0911,-0.2347
neptune,16.4619,-25.2297,0.1402
sun,0.0006,-0.0037,0.0000
jupiter,4.5061,2.0354,-0.1093
saturn,6.9488,6.0349,-0.3813
uranus,14.0749,-14.0816,-0.2348
neptune,16.4714,-25.2234,0.1398
sun,0.0006,-0.0037,0.0000
jupiter,4.4943,2.0618,-0.1092
saturn,6.9344,6.0502,-0.3810
uranus,14.0849,-14.0721,-0.2349
neptune,16.4810,-25.2170,0.1395
sun,0.0006,-0.0037,0.0000
jupiter,4.4823,2.0882,-0.1090
saturn,6.9199,6.0655,-0.3807
uranus,14.0950,-14.0625,-0.2350
neptune,16.4905,-25.2106,0.1391
sun,0.0007,-0.0038,0.0000
jupiter,4.4702,2.1145,-0.1089
saturn,6.9053,6.0808,-0.3804
uranus,14.1050,-14.0530,-0.2351
neptune,16.5000,-25.2043,0.1388
sun,0.0007,-0.0038,0.0000
jupiter,4.4579,2.1407,-0.1087
saturn,6.8908,6.0961,-0.3801
uranus,14.1150,-14.0435,-0.2352
neptune,16.5095,-25.1979,0.1384
sun,0.0007,-0.0038,0.0000
jupiter,4.4454,2.1668,-0.1085
saturn,6.8762,6.1113,-0.3797
uranus,14.1251,-14.0339,-0.2353
neptune,16.5190,-25.1915,0.1381
sun,0.0007,-0.0039,0.0000
jupiter,4.4329,2.1929,-0.1084
saturn,6.8615,6.1265,-0.3794
uranus,14.1351,-14.0244,-0.2354
neptune,16.5286,-25.1851,0.1377
sun,0.0007,-0.0039,0.0000
jupiter,4.4202,2.2189,-0.1082
saturn,6.8468,6.1417,-0.3791
uranus,14.1451,-14.0148,-0.2355
neptune,16.5381,-25.1787,0.1374
sun,0.0007,-0.0039,-0.0000
jupiter,4.4073,2.2448,-0.1080
saturn,6.8321,6.1568,-0.3788
uranus,14.1551,-14.0052,-0.2356
neptune,16.5476,-25.1723,0.1370
sun,0.0007,-0.0039,-0.0000
jupiter,4.3943,2.2707,-0.1078
saturn,6.8174,6.1719,-0.3785
uranus,14.1651,-13.9956,-0.2357
neptune,16.5571,-25.1659,0.1367
sun,0.0008,-0.0040,-0.0000
jupiter,4.3811,2.2965,-0.1076
saturn,6.8026,6.1870,-0.3781
uranus,14.1751,-13.9860,-0.2358
neptune,16.5666,-25.1595,0.1363
sun,0.0008,-0.0040,-0.0000
jupiter,4.3678,2.3222,-0.1074
saturn,6.7878,6.2020,-0.3778
uranus,14.1851,-13.9764,-0.2359
neptune,16.5761,-25.1531,0.1360
sun,0.0008,-0.0040,-0.0000
jupiter,4.3544,2.3478,-0.1072
saturn,6.7730,6.2170,-0.3775
uranus,14.1951,-13.9668,-0.2359
neptune,16.5856,-25.1467,0.1356
sun,0.0008,-0.0041,-0.0000
jupiter,4.3408,2.3734,-0.1070
saturn,6.7581,6.2320,-0.3771
uranus,14.2050,-13.9572,-0.2360
neptune,16.5951,-25.1403,0.1353
sun,0.0008,-0.0041,-0.0000
jupiter,4.3271,2.3988,-0.1068
saturn,6.7432,6.2469,-0.3768
uranus,14.2150,-13.9476,-0.2361
neptune,16.6046,-25.1339,0.1349
sun,0.0008,-0.0041,-0.0000
jupiter,4.3133,2.4242,-0.1066
saturn,6.7282,6.2618,-0.3765
uranus,14.2250,-13.9380,-0.2362
neptune,16.6141,-25.1275,0.1346
sun,0.0009,-0.0042,-0.0000
jupiter,4.2993,2.4496,-0.1064
saturn,6.7132,6.2767,-0.3761
uranus,14.2349,-13.9284,-0.2363
neptune,16.6236,-25.1211,0.1342
sun,0.0009,-0.0042,-0.0000
jupiter,4.2851,2.4748,-0.1062
saturn,6.6982,6.2916,-0.3758
uranus,14.2448,-13.9187,-0.2364
neptune,16.6331,-25.1146,0.1339
sun,0.0009,-0.0042,-0.0000
jupiter,4.2708,2.5000,-0.1060
saturn,6.6831,6.3064,-0.3755
uranus,14.2548,-13.9091,-0.2365
neptune,16.6426,-25.1082,0.1335
sun,0.0009,-0.0042,-0.0000
jupiter,4.2564,2.5250,-0.1058
saturn,6.6681,6.3211,-0.3751
uranus,14.2647,-13.8994,-0.2366
neptune,16.6521,-25.1018,0.1332
sun,0.0009,-0.0043,-0.0000
jupiter,4.2419,2.5500,-0.1056
saturn,6.6529,6.3359,-0.3748
uranus,14.2746,-13.8898,-0.2367
neptune,16.6615,-25.0953,0.1328
sun,0.0009,-0.0043,-0.0000
jupiter,4.2272,2.5749,-0.1053
saturn,6.6378,6.3506,-0.3744
uranus,14.2845,-13.8801,-0.2368
neptune,16.6710,-25.0889,0.1325
sun,0.0010,-0.0043,-0.0000
jupiter,4.2123,2.5998,-0.1051
saturn,6.6226,6.3653,-0.3741
uranus,14.2944,-13.8705,-0.2369
neptune,16.6805,-25.0824,0.1321
sun,0.0010,-0.0044,-0.0000
jupiter,4.1974,2.6245,-0.1049
saturn,6.6074,6.3800,-0.3737
uranus,14.3043,-13.8608,-0.2370
